Namespace(batch_size=64, epochs=75, loss='MSE', lr=1e-05, optimiser='RMSprop', seed=12)
epoch,train_loss,val_loss
2,0.13032596377102104,0.12543152100764787
3,0.12155546207685729,0.11528106263050666
4,0.1153087374326345,0.11117173845951374
5,0.11013873263790801,0.10973160198101631
6,0.10469432799397288,0.09943333268165588
7,0.10140309361992655,0.09726526301640731
8,0.09717863717594662,0.09084082050965382
9,0.09544583671801798,0.09558359246987563
10,0.09435372638541299,0.09225474699185444
11,0.09257175290101283,0.0868125340113273
12,0.09107534829023722,0.09168585791037633
13,0.08977543945248062,0.08862157796437924
14,0.08885596410648243,0.08476238697767258
15,0.08707260843869802,0.08810364454984665
16,0.08550152283262562,0.089331804559781
17,0.0850374213344342,0.07946036756038666
18,0.08376661083988242,0.07944458837692554
19,0.0824443794585563,0.0810316875576973
20,0.08220847071828069,0.08087028448398297
21,0.08072185606972591,0.07661011098669125
22,0.08025508313565641,0.07714688520018871
23,0.07976607213149199,0.07731086302262086
24,0.07900525548973598,0.07390397873062354
25,0.07817297791307037,0.07715536596683356
26,0.07752439641469233,0.0728001926953976
27,0.07756652904523385,0.0731799015058921
28,0.07609843412363851,0.07435591175005986
29,0.07626832558496578,0.07418441829773095
30,0.0759670204810194,0.07622666255785869
