Namespace(batch_size=128, epochs=75, loss='MSE', lr=0.0001, optimiser='RMSprop', seed=12)
epoch,train_loss,val_loss
2,0.10044084959908535,0.09496475330420903
3,0.09353644675330113,0.08743204602173396
4,0.08740232610388805,0.08455283620527812
5,0.08405369598614543,0.08849886059761047
6,0.07994341889494344,0.07855907614742007
7,0.0797652194374486,0.07623134021248136
8,0.0768897082460554,0.06783002455319677
9,0.07561384572794563,0.07672209292650223
10,0.07518764310761501,0.07432994565793447
11,0.07351763154331006,0.06767147140843528
12,0.07322068512439728,0.07770246693066188
13,0.07212821551059422,0.07063898018428258
14,0.07133978095493819,0.06868311230625425
15,0.07077381504993689,0.07308683544397354
