Namespace(batch_size=128, epochs=75, loss='MSE', lr=0.001, optimiser='Adam', seed=12)
epoch,train_loss,val_loss
2,0.09133565700367878,0.08685108699968883
3,0.08008855385215659,0.07243643594639641
4,0.07289148455387667,0.0684497281908989
5,0.06869842229705107,0.07164164153592927
6,0.06569629535079002,0.0621420576104096
7,0.06590311856646287,0.06331535428762436
8,0.06314899262629058,0.057178614128913195
9,0.06255364025893964,0.06503574763025556
10,0.06227796328695197,0.05784043563263757
11,0.061572307426678505,0.05710827825324876
12,0.060559702743040886,0.0634658161018576
13,0.059890814517673696,0.05911853909492493
14,0.059554569031062876,0.05817259103059769
15,0.06479988207942561,0.06575736137373107
