Namespace(batch_size=256, epochs=75, loss='MSE', lr=1e-05, optimiser='Adam', seed=12)
epoch,train_loss,val_loss
2,0.1804001122713089,0.17864621430635452
3,0.17444536685943604,0.17789648473262787
4,0.1659655377268791,0.20004535466432571
5,0.15964367836713791,0.16756058856844902
6,0.1571076974272728,0.1459065079689026
7,0.15913690775632858,0.1517765298485756
8,0.1522967129945755,0.14208104461431503
9,0.15276991277933122,0.1558205671608448
10,0.15224189907312394,0.1435612514615059
11,0.14761999547481536,0.12764772400259972
12,0.1421503022313118,0.14759817719459534
13,0.1397004872560501,0.13801990449428558
14,0.13762468695640565,0.12463133782148361
15,0.13110057562589644,0.14175173826515675
16,0.12828187197446822,0.14572024904191494
17,0.12851937040686606,0.10916016437113285
18,0.1257971130311489,0.11516769044101238
19,0.12280160933732986,0.12078163400292397
20,0.12378607839345931,0.12735158018767834
21,0.11967261284589767,0.10699831321835518
22,0.12066740617156028,0.1082390733063221
23,0.11963505148887635,0.11217444948852062
24,0.11785178482532502,0.10188903380185366
25,0.11605512350797653,0.117658955976367
26,0.11467478349804879,0.09674690291285515
27,0.11639397665858268,0.10361239314079285
28,0.10984374731779098,0.10784722678363323
29,0.11273331642150879,0.10788007825613022
30,0.11129444241523742,0.11352235823869705
