Namespace(batch_size=64, epochs=75, file=True, loss='CE', lr=0.0001, momentum=0.9, optimiser='RMSprop', scheduler=False, w_decay=5e-05)
epoch,loss,pixel_acc,IoU,val_loss
0,0.4493476152420044,0.8801472651494013,0.5794364677219864,0.33847787517767686
1,0.2563033998012543,0.8915098512327516,0.593037168485567,0.4290807911982903
2,0.2650068998336792,0.8705971061409293,0.5494152257932926,0.3181448567372102
3,0.24384072422981262,0.8770146555714793,0.5665686104110853,0.29390349984169006
4,0.22269701957702637,0.9044742336520901,0.6376662038526059,0.3020351999081098
5,0.2935643196105957,0.8889313933137175,0.5883222849019878,0.3060304889312157
6,0.3178982138633728,0.8996133779550528,0.6063992239865216,0.2965807696947685
7,0.28161945939064026,0.9015008505288656,0.6218350925228333,0.25509005784988403
8,0.18206973373889923,0.8840209762771408,0.594544919446828,0.2645928951410147
9,0.1856679618358612,0.9035330834326806,0.6385824707696639,0.2417155125966439
10,0.28067389130592346,0.590257639699168,0.3291491097050349,0.6067434297158167
11,0.3016776144504547,0.9122882000811688,0.6644543024620032,0.26086762432868665
12,0.1975935697555542,0.921325564694095,0.6868999133913196,0.23465515787784869
13,0.28417783975601196,0.890410564472149,0.6120656471237508,0.23910061785807976
14,0.2804017961025238,0.8921852409065544,0.6068420373794411,0.23970534022037798
15,0.18629376590251923,0.9167799119825487,0.6844088689835995,0.22271487575310928
16,0.25438392162323,0.9246106630795962,0.7158817592764352,0.26585691135663253
17,0.205864816904068,0.922068013773336,0.6897894114978106,0.22112622283972228
18,0.26134711503982544,0.8847765241350446,0.6086947840740764,0.2338272940654021
19,0.1825120449066162,0.9252713884626116,0.7054602142223049,0.20903602700967056
20,0.13300618529319763,0.9351196487228591,0.7352179250693055,0.22983368027668732
21,0.19418613612651825,0.9297185526265727,0.7184166489695663,0.23266971111297607
22,0.16265471279621124,0.9243519968800731,0.7063442380606532,0.21980202541901514
23,0.16684842109680176,0.9288733544287744,0.714618618335217,0.26586490640273464
24,0.13779202103614807,0.9340973693054991,0.7300633926538136,0.22411860640232378
25,0.20006568729877472,0.925732084992644,0.6988636238564299,0.2072622008048571
