Namespace(batch_size=32, epochs=75, file=True, loss='CE', lr=0.0001, momentum=0.9, optimiser='Adam', scheduler=False, w_decay=5e-05)
epoch,loss,pixel_acc,IoU,val_loss
0,0.5006189942359924,0.8152544294084821,0.41043091267358306,0.3916351914405823
1,0.2025478631258011,0.8811487569437398,0.5837308262389955,0.2643692249059677
2,0.1891658902168274,0.9073120315353592,0.6550694058252605,0.23564385652542114
3,0.16658920049667358,0.9029273689567269,0.6329571611659421,0.22449479639530182
4,0.16639912128448486,0.9149078170974533,0.6818955089316944,0.23041413128376007
5,0.18903250992298126,0.9275930429433847,0.6992834438806926,0.240784672498703
6,0.22689670324325562,0.9240002718838778,0.6965969966682306,0.22670907497406007
7,0.2593349516391754,0.9238213477196632,0.6985204719568449,0.21802810251712798
8,0.12921567261219025,0.9137050480037541,0.6892174477586825,0.21274448782205582
9,0.14483869075775146,0.9172511707652699,0.6997269680401551,0.23251929461956025
10,0.16645285487174988,0.9215000697544643,0.7011612907833649,0.22165157198905944
11,0.19798323512077332,0.9136946046507204,0.7051973298863101,0.23472711622714995
12,0.12822593748569489,0.9258308311561485,0.7155173910360509,0.25472984939813614
13,0.17607232928276062,0.9235361668970677,0.7172027608525784,0.24674637585878373
14,0.18352288007736206,0.9230878359311587,0.7154627737450624,0.23227904677391054
15,0.13097481429576874,0.92842131775695,0.722592228097199,0.25094269335269925
16,0.10384313017129898,0.9231358317585735,0.7207626971290036,0.25516570508480074
17,0.11797608435153961,0.9230634020520495,0.718167880293705,0.2598417633771896
18,0.14100511372089386,0.930036668653612,0.7308459316637806,0.30472194850444795
19,0.0995924174785614,0.9292354038783482,0.7231547564743769,0.28661822199821474
20,0.09168700128793716,0.9350530450994318,0.7391542538905992,0.3091974952816963
21,0.13205473124980927,0.9272784146395596,0.7252063178247311,0.2456967067718506
22,0.10437782108783722,0.9332416683048397,0.732343145548724,0.3086994951963425
23,0.10770373046398163,0.9362497503107244,0.745314565532865,0.38400454461574557
24,0.09902484714984894,0.932705292144379,0.7304298178173237,0.31477348506450653
25,0.11078155040740967,0.9348973460011668,0.736730055971681,0.3284269237518311
26,0.08538742363452911,0.9378361095081676,0.7439324973307503,0.3576504510641098
27,0.09781835228204727,0.9395327085024351,0.7495551622457105,0.39992018312215805
28,0.09455239772796631,0.9369869281719257,0.7415329591848112,0.38170586466789247
29,0.07792045176029205,0.9365074653130073,0.741321665275266,0.38041964948177337
30,0.06890511512756348,0.9400397164481027,0.7507853987635962,0.3899452519416809
31,0.0716911256313324,0.9352776465477881,0.7372278130329263,0.3958824023604393
32,0.07688048481941223,0.9373296564275568,0.7409426152564811,0.41492660224437716
33,0.08059726655483246,0.937899265041599,0.744024918007062,0.41429953157901767
34,0.07310685515403748,0.9388370662540585,0.7452829653020336,0.43484961569309233
35,0.08505195379257202,0.938805002980418,0.7474716652505655,0.46743896961212156
