Namespace(batch_size=64, epochs=75, file=True, loss='CE', lr=1e-05, momentum=0.9, optimiser='RMSprop', scheduler=False, w_decay=5e-05)
epoch,loss,pixel_acc,IoU,val_loss
0,0.48563796281814575,0.8337785993303571,0.43663933189929394,0.4266965343401982
1,0.21003884077072144,0.9052059619457691,0.6340536655141962,0.3098037288739131
2,0.21665197610855103,0.905249380136465,0.6433714870893259,0.27055517182900357
3,0.18537339568138123,0.8756243420885755,0.588909308142186,0.25695874943183017
4,0.19076882302761078,0.9020119803292411,0.6441307836643378,0.2393984542443202
5,0.22928062081336975,0.918697842684659,0.6673695718836955,0.27115183954055494
6,0.2813922166824341,0.9079212733677455,0.6621703912246664,0.24758986097115737
7,0.2525702714920044,0.9118505700842127,0.6630063814562388,0.22237101311867052
8,0.16150543093681335,0.9064663973721591,0.6506450733583733,0.2297961826507862
9,0.18207228183746338,0.9237449546913048,0.6931517342285932,0.22392158668774825
10,0.2274617999792099,0.9131329821301745,0.6797942821269343,0.22403506590769842
11,0.23373304307460785,0.9113107260171469,0.6601982650367382,0.2126809530533277
12,0.1625738888978958,0.9175540280032467,0.6804949648475407,0.21081732557370111
13,0.26297247409820557,0.9131180800400771,0.6726853269641249,0.21240637394098136
14,0.2412366271018982,0.913787603997565,0.6712993649089902,0.21061027623139894
