Namespace(batch_size=32, epochs=75, file=True, loss='CE', lr=1e-07, momentum=0.9, optimiser='Adam', scheduler=False, w_decay=5e-05)
epoch,loss,pixel_acc,IoU,val_loss
0,0.7169531583786011,0.3038788832627334,0.18348212506219663,0.7116528391838074
1,0.7378974556922913,0.3030444256671063,0.1842833602292328,0.7094186305999756
2,0.6927175521850586,0.30249780431970374,0.18491563126384183,0.70998685836792
3,0.7253549098968506,0.30209879689402397,0.18548854306839505,0.709280731678009
4,0.6965709924697876,0.3018768112380783,0.18601280611639126,0.7060401678085327
5,0.7004591822624207,0.30183939747996147,0.1864977919917017,0.7047341585159301
6,0.676030158996582,0.30181805499188313,0.1869479350871825,0.7095043540000916
7,0.732958197593689,0.30192143824193385,0.18739445881574926,0.7052437400817871
8,0.7141966223716736,0.30212965135450487,0.187800720354091,0.7086006474494934
9,0.7069802284240723,0.30243546126724835,0.1881906298145851,0.7024445581436157
10,0.6685044169425964,0.3028567227450284,0.18856111797536335,0.7014425826072693
11,0.6862799525260925,0.3032461191152597,0.18892407634929229,0.7010618877410889
12,0.6983546614646912,0.3036772096311891,0.18927632712291828,0.7029596424102783
13,0.725382387638092,0.30422252308238634,0.18960356862749778,0.7018401741981506
14,0.6991321444511414,0.3048466868214793,0.1899254214496916,0.6998857975006103
15,0.672091007232666,0.3055634337586242,0.19023720501056618,0.6999982976913453
16,0.7603016495704651,0.3062678745814732,0.1905418783364095,0.7004969477653503
17,0.6861831545829773,0.30716578495966923,0.19083394383255062,0.6989080595970154
18,0.6940416097640991,0.30800018310546873,0.19111626994486167,0.698556227684021
19,0.7020885348320007,0.3088819627637987,0.19139582138067499,0.6973356008529663
20,0.7041757702827454,0.30981019255402803,0.19167131606085377,0.6966678166389465
21,0.7215490937232971,0.31077652968369524,0.19194012200831978,0.6958807849884033
22,0.6889523267745972,0.31180701317725246,0.1922177404521869,0.6949465847015381
23,0.6922546625137329,0.31288464038403,0.19248549349348512,0.6946146011352539
24,0.6907308101654053,0.31407082297585226,0.1927443897406165,0.6965006136894226
25,0.6873502135276794,0.3152379618062601,0.19299736149000762,0.6947420167922974
26,0.6826862692832947,0.3164112636021205,0.19325424914096678,0.6926319193840027
27,0.7027584910392761,0.3176627221045556,0.19351342633141463,0.6933852028846741
28,0.6810006499290466,0.31899396227551746,0.193766207085117,0.692418429851532
29,0.6978799700737,0.3202601841517857,0.19402453863739377,0.6911888957023621
30,0.6841099858283997,0.3215953678279728,0.19427484125489974,0.6916900658607483
31,0.6762195229530334,0.32299539144937095,0.19452780605024805,0.692143840789795
32,0.6916643977165222,0.32441487498097604,0.19479469718459677,0.6900388836860657
33,0.6876113414764404,0.32602541044160915,0.1950554238573174,0.6889539861679077
34,0.6971757411956787,0.32768691422103285,0.19532722138837236,0.6900479340553284
35,0.6778018474578857,0.329216835715554,0.1956207871058503,0.6898861384391785
36,0.6988968849182129,0.3307236708603896,0.19590447090124177,0.6861723041534424
