Namespace(epochs=50, gamma=0.5, lr=1e-07, momentum=0.9, optimiser='Adam', scheduler=False, step_size=50, w_decay=5e-05)
epoch,loss,pixel_acc,IoU
0,0.7120273113250732,0.5016279938933137,0.15842978654488718
1,0.6860817670822144,0.5534675796310623,0.17056230813593415
2,0.6755743622779846,0.5743764753465529,0.19426963755647117
3,0.6196962594985962,0.5989038938051694,0.21927553996671117
4,0.5839007496833801,0.6323418406697062,0.241952237383308
5,0.5222780704498291,0.6695321764264788,0.2630505157904692
6,0.5499764084815979,0.7035678764442345,0.2846259902446092
7,0.9899032115936279,0.731021227155413,0.30454187845134867
8,0.41709625720977783,0.7602809658298245,0.32698152223501126
9,0.47562700510025024,0.7764029515254033,0.34684893116987964
10,0.42268165946006775,0.8004819696599786,0.37204974883244835
11,0.3638561964035034,0.8095362626112901,0.3901142389852887
12,1.0716373920440674,0.8234835438914113,0.41130103229037673
13,0.30710768699645996,0.8344527950534573,0.4299075991577284
14,0.3533615171909332,0.8386618874289773,0.4418033864423171
15,0.47978517413139343,0.8488209414791751,0.4593554672454586
16,0.4069739580154419,0.8492593938654119,0.46546299463084545
17,0.37821584939956665,0.8576873927921443,0.4813763444779735
18,0.33766618371009827,0.854842386617289,0.4814905345004388
19,0.35088491439819336,0.8610645987770774,0.4945178777858289
20,0.28479763865470886,0.8676671857957716,0.5075691635055226
21,0.39785537123680115,0.8727489719143161,0.5182023355952488
22,0.2760102450847626,0.8730342914531757,0.5223484310612267
23,0.2565933167934418,0.8743757867193841,0.5273237941087557
24,0.2956311106681824,0.8751923053295582,0.530895813496816
25,0.23988382518291473,0.8780311782638748,0.5378675902686868
26,0.3692875802516937,0.8781873727773691,0.5404753754624754
27,0.23652435839176178,0.8785932020707564,0.5427665410179457
28,0.348814994096756,0.8828913106546774,0.5508055326794359
29,0.2740151286125183,0.8793994309066178,0.5473980366018957
30,0.27857890725135803,0.8851241520472936,0.5572687911464537
31,0.24130341410636902,0.8855326664912236,0.5605520133323025
32,0.33090314269065857,0.8819941483534776,0.5537909966487147
33,1.2177255153656006,0.8864458257501776,0.5644639484237345
34,0.26632997393608093,0.8850160871233259,0.5623179165987742
35,0.18773789703845978,0.8881104506455458,0.5690950657622211
36,0.26739877462387085,0.8872251684015448,0.5684551386126324
37,0.2710023522377014,0.888696373283089,0.5713665229869567
38,0.2267647534608841,0.887966522613129,0.5699652400167851
39,1.3982950448989868,0.8924137214561562,0.5796671964961851
40,0.2013969123363495,0.8908012291053673,0.5765440765003412
41,0.20377448201179504,0.8889843333851207,0.5741479755398925
42,0.1860150247812271,0.8917141208400974,0.5794753849881397
43,0.21255801618099213,0.8913658934754211,0.5808105239781207
44,0.18469779193401337,0.8905313120259867,0.5786179775688592
45,0.24901853501796722,0.8919635425914417,0.5805957050164045
46,0.3118811845779419,0.8941386681098442,0.5886203998683948
47,0.14984460175037384,0.894140540779411,0.5877621924000158
48,0.1930723786354065,0.8981548804741402,0.5979027095283105
49,0.254142701625824,0.8924152324726056,0.585828918448992
