Namespace(epochs=50, gamma=0.5, lr=1e-07, momentum=0.0, optimiser='RMSprop', scheduler=False, step_size=50, w_decay=0.0)
epoch,loss,pixel_acc,IoU
0,0.675674319267273,0.32255240601378604,0.1815815136095829
1,0.6675089001655579,0.3372087453866934,0.1895769275493872
2,0.6721642017364502,0.3558179781034395,0.19773960728253162
3,0.7301133871078491,0.3776290794471642,0.20724537805176235
4,0.6382037401199341,0.4205795238544415,0.21811208194610548
5,0.5702560544013977,0.47453696015593294,0.22935042551161358
6,0.6028483510017395,0.5313180403275923,0.24152931935067157
7,0.6502248048782349,0.5883023101013977,0.25573243753103464
8,0.48479774594306946,0.6426899104923397,0.2722913902922562
9,0.6276508569717407,0.6938851641370104,0.29255395311129234
10,0.5324293375015259,0.7331328850287896,0.31584007037126777
11,0.5445606708526611,0.7597817160866477,0.3365736696039593
12,0.42877158522605896,0.7848557113052963,0.35889662729120697
13,0.4266624450683594,0.805253284008472,0.38013235945876167
14,0.3694237470626831,0.822142980005834,0.40195077275200963
15,0.2561531364917755,0.8314681115088525,0.417610103357155
16,0.31255456805229187,0.839966072974267,0.4330470243947471
17,1.0987277030944824,0.8424756037724482,0.4428345854473771
18,0.3374364972114563,0.8523990432937424,0.45972601805866214
19,0.3949486017227173,0.8570590576568207,0.47120340250684684
20,0.30227798223495483,0.859411873755517,0.47859338263380613
21,0.2673901319503784,0.8611744273792613,0.4864484659923542
22,0.2634691596031189,0.8648340894030286,0.4950548110678563
23,0.28772345185279846,0.8677161625453405,0.5018662057342663
24,0.3535287082195282,0.8679188914113231,0.5053467476841382
25,0.36999645829200745,0.8681092249882686,0.5081681585745728
26,0.18734468519687653,0.8740175172880098,0.5200418485099486
27,0.2641448378562927,0.8756100146801441,0.5255662653240589
28,0.24106405675411224,0.8727684863201983,0.5222186458878403
29,0.3223769962787628,0.8758721388779678,0.529076203911463
30,0.2483234405517578,0.8774052954339362,0.5326878740869598
31,0.5631615519523621,0.8783792371873732,0.5382060225295601
32,0.32491540908813477,0.8789485138732117,0.5407329245553743
33,0.2723790407180786,0.8795050286627435,0.5421433054053231
34,0.36575984954833984,0.8831825900387454,0.5507699301780469
35,0.25088855624198914,0.8849080420159674,0.5542874866150822
36,1.2072563171386719,0.8845945928003881,0.5550132062576394
37,0.25721392035484314,0.8860925203794009,0.5594713392385863
38,0.25089919567108154,0.88481834213455,0.5570994943911397
39,0.21308623254299164,0.8905612747390549,0.569876672333601
40,0.21154817938804626,0.8892518873338575,0.5673683690034759
41,0.13429464399814606,0.8896849991439225,0.570489714968068
42,0.2768678069114685,0.8855934242149452,0.5611926786315022
43,0.29182881116867065,0.8875323407061688,0.5670051359052968
44,0.2508798837661743,0.8866108832421241,0.5656270001259806
45,0.1533336639404297,0.8878592305369192,0.5685229249648288
46,0.197479709982872,0.8905893301034903,0.5752552368909536
47,1.0324651002883911,0.8905534868116503,0.5755409904242382
48,0.8840295672416687,0.8863517810771991,0.5666966247907058
49,0.17060041427612305,0.8916598134226613,0.578610446088799
