Namespace(epochs=50, file=True, gamma=0.1, loss='LL', lr=1e-07, momentum=0.9, optimiser='Adam', scheduler=True, step_size=30, w_decay=5e-05)
epoch,loss,pixel_acc,IoU
0,1.0986371040344238,0.5220609194272524,12.60106904855954
1,1.0110313892364502,0.48568850925990514,14.293973021949663
2,0.9091256260871887,0.41852363487342736,15.754384493227342
3,0.7953121066093445,0.32611664115608513,17.51393018457725
4,0.6986754536628723,0.2645004767876167,18.86658714057927
5,0.6451357007026672,0.2326855349850345,19.655876391022865
6,0.5863784551620483,0.21890399486987622,20.074768730950822
7,0.5890079736709595,0.21124177412553266,20.238183577498273
8,0.5371675491333008,0.20648644187233664,20.299728943062952
9,0.5290575623512268,0.20560796167943385,20.31909277628969
10,0.5222455859184265,0.20537469541871703,20.329412869559157
11,0.5185042023658752,0.20504898467621246,20.3343778457426
12,0.5139825940132141,0.20490241112647117,20.33750722104875
13,0.5138601660728455,0.20432375623034194,20.340117375677945
14,0.5100898146629333,0.20398053255948154,20.34209161115946
15,0.5075549483299255,0.20380700842126623,20.343260444547273
16,0.5069566369056702,0.20368811867453834,20.34391558508666
17,0.5099964737892151,0.20364792563698508,20.34431978803264
18,0.504572868347168,0.20362549818955458,20.344619119243077
19,0.5044214725494385,0.2036192460493608,20.344729562045288
20,0.5092115998268127,0.2036168383313464,20.344781538043847
21,0.5055633187294006,0.20361599117130427,20.344820209954676
22,0.5031744837760925,0.20361556016005478,20.344842694395375
23,0.5032323598861694,0.2036154164896383,20.34484652952104
24,0.503614604473114,0.2036151291488053,20.344866603984315
25,0.5039427280426025,0.2036146238252714,20.34488804712247
26,0.5019401907920837,0.20361077940309202,20.344958083857048
27,0.5005007982254028,0.20358458184576653,20.345217428508036
28,0.5021295547485352,0.20353757684881038,20.34583272850946
29,0.5017433166503906,0.20349507022213625,20.346505665572547
30,0.5015266537666321,0.20348969992105062,20.346541696555292
31,0.5015206933021545,0.2034851024677227,20.3465825179867
32,0.5022841691970825,0.20348243713378905,20.34661986931963
33,0.5081546306610107,0.20348033657321682,20.346656929729885
34,0.5044976472854614,0.20347889986905185,20.346698175889035
35,0.5017728805541992,0.20347777527648134,20.34673865713613
36,0.5016987919807434,0.20347679930847962,20.34677932456267
37,0.5018007159233093,0.20347612058961545,20.3468124802273
38,0.5135706663131714,0.20347556077040635,20.346845965485336
39,0.5055623650550842,0.20347519416313667,20.346867439405965
40,0.5006340742111206,0.20347484241832386,20.34688808342432
41,0.5017626285552979,0.20347442626953124,20.346899571034015
42,0.5039958357810974,0.20347412902039366,20.34690542767793
43,0.5020225644111633,0.20347378718388545,20.346913283227387
44,0.5255120992660522,0.2034734701181387,20.34692082589349
45,0.5014791488647461,0.20347334131017908,20.34692859013947
46,0.5030815601348877,0.20347314314408735,20.34693526563576
47,0.5011967420578003,0.2034730341527369,20.346940414236947
48,0.5008535385131836,0.20347294497799565,20.34694556311244
49,0.5021044015884399,0.20347277158266538,20.346944228973886
