Namespace(epochs=30, gamma=0.5, lr=1e-06, momentum=0.0, optimiser='RMSprop', scheduler=False, step_size=50, w_decay=0.0)
epoch,loss,pixel_acc,IoU
0,0.5085384845733643,0.8273708541671951,0.3646528218282342
1,1.07951021194458,0.849246205912008,0.47702745912256506
2,0.22011417150497437,0.8674232185661018,0.5220820049256599
3,0.24065342545509338,0.889185026094511,0.5752086280528161
4,0.3348672091960907,0.8943018727488332,0.5895010482824466
5,0.26368430256843567,0.8928612894826121,0.5926063520924891
6,0.19391199946403503,0.8928193030419288,0.59651059892477
7,0.16588588058948517,0.9122861441079673,0.6475466401298304
8,0.17127618193626404,0.9059195729045125,0.6256439195406858
9,0.13139532506465912,0.9086241684950791,0.6395994259779838
10,0.15343701839447021,0.910050528390067,0.6461201886465274
11,0.4713120758533478,0.9125985331349559,0.6545209292149092
12,0.1832546442747116,0.9122519010073179,0.646831420198865
13,0.09578840434551239,0.9181947386109984,0.6692002207582496
14,0.16829316318035126,0.9188879582789037,0.6692546683894706
15,0.14787840843200684,0.9155203683035714,0.6530436677582678
16,0.15156632661819458,0.9233155981286779,0.6856218602562046
17,0.14325398206710815,0.9155873434884207,0.6587813415544208
18,0.13275709748268127,0.9186528243027724,0.6637128775769611
19,0.12056495994329453,0.9152464829482041,0.652653381473108
20,0.18028582632541656,0.9215441716181767,0.6768606451657502
21,0.16704539954662323,0.919867027579964,0.6733753715563568
22,0.15176579356193542,0.9236080516468395,0.6814000544957288
23,0.09170418232679367,0.9191914496483741,0.6640074158688939
24,0.20693063735961914,0.9137223776284751,0.6593001648142335
25,0.16492073237895966,0.9236111826710887,0.6814667052489408
26,0.7223602533340454,0.9279804328819374,0.6961251915041988
27,0.10485858470201492,0.9261232599035486,0.6927919526584142
28,0.16058625280857086,0.9236681901015245,0.6868768603844988
29,0.11218108236789703,0.9159219122552252,0.6652832146595192
