Namespace(epochs=30, gamma=0.5, lr=1e-06, momentum=0.9, optimiser='RMSprop', scheduler=False, step_size=50, w_decay=5e-05)
epoch,loss,pixel_acc,IoU
0,0.35241156816482544,0.8392970493861607,0.47585610294637587
1,1.0274347066879272,0.9205685751778739,0.669457476138576
2,0.15322834253311157,0.9182658802379261,0.6522911171866652
3,0.7147541046142578,0.9271921529398336,0.6957573832495003
4,0.1731252372264862,0.9255371985497413,0.6806006814829342
5,0.04221072793006897,0.9324304258668578,0.7164690799018526
6,0.10953505337238312,0.9408481895149529,0.7444737472044245
7,0.18482086062431335,0.9406230282473874,0.7602966295086973
8,0.15639086067676544,0.938162697135628,0.7323059760939022
9,0.06965501606464386,0.9357298912940087,0.7315863311505069
10,0.08759476989507675,0.9442885807582311,0.7593477890766301
11,0.07161912322044373,0.9388392262644581,0.7379804840683244
12,0.12206726521253586,0.9374620016519125,0.7452824953473968
13,0.09829626232385635,0.9357541220528739,0.7324610262555532
14,0.013620814308524132,0.9425945430606991,0.7579371554828176
15,0.09106630086898804,0.9423592356892375,0.7643055010960862
16,0.05365115776658058,0.9375137675892223,0.733462630760775
17,0.07614956796169281,0.9387593306504287,0.7375767379558105
18,0.09383732080459595,0.9385051925461013,0.7464435583475355
19,0.10407228767871857,0.9155597488601487,0.6949254095422691
20,0.11008843034505844,0.9393386097697468,0.749659872993082
21,0.07624254375696182,0.9432202128620891,0.7607211557631601
22,0.009701339527964592,0.9417294787122058,0.7509868257724887
23,0.11594028770923615,0.9381409682236709,0.7428678299574718
24,0.08315205574035645,0.9388004947018314,0.7423304619213338
25,0.3850107491016388,0.9334294158142883,0.7371917440888661
26,0.09028146415948868,0.9424990270044896,0.7649257047184764
27,0.07256082445383072,0.9292298304570186,0.7103566257046121
28,0.34487253427505493,0.9359286816089184,0.7361493615929805
29,0.01452578790485859,0.9394561321704419,0.7430755839996992
