Namespace(epochs=30, gamma=0.1, lr=1e-06, momentum=0.9, optimiser='Adam', scheduler=True, step_size=30, w_decay=5e-05)
epoch,loss,pixel_acc,IoU
0,0.4411320090293884,0.7581284411541828,0.3357862634441432
1,0.2069423496723175,0.8706731771493887,0.5176988399129788
2,0.3109692931175232,0.8811332950344334,0.5537892602197277
3,0.12970176339149475,0.8983884291215376,0.5964184860536658
4,0.19278642535209656,0.8947054082697088,0.5924273217190646
5,0.24775764346122742,0.9038111600008878,0.6153840882680146
6,0.2430620789527893,0.9064440194662515,0.6210104349768526
7,0.14273309707641602,0.9105312496036678,0.6287884770477817
8,0.19714424014091492,0.9087521441571125,0.6340298669896904
9,0.2428046315908432,0.9176814834792892,0.6550695707503322
10,0.21266509592533112,0.8952283289525416,0.6034838863798747
11,0.09668311476707458,0.9065908754026735,0.6324500362628346
12,0.1609102040529251,0.9130462497859806,0.6469884685014321
13,0.20814910531044006,0.9093827532483386,0.6347177318605154
14,0.15170399844646454,0.9173499317912313,0.659473456638733
15,0.1381470412015915,0.9126397467278815,0.6471498060473627
16,0.17263972759246826,0.9134325052236582,0.6466599072233022
17,0.13671980798244476,0.9188376389540636,0.6639730894431368
18,0.0935978814959526,0.9232977681345754,0.6853071219161846
19,0.09548089653253555,0.9201185944792513,0.6678474766181698
20,0.17686724662780762,0.9244273792613636,0.6845027977849798
21,0.1507895588874817,0.9206036307594992,0.6708337638094056
22,0.17760083079338074,0.9214501616242644,0.6697078172478675
23,0.14411526918411255,0.9230459782984349,0.6831559822267651
24,0.16038520634174347,0.9201699145428546,0.6710511851080496
25,0.18457815051078796,0.9212627113639534,0.6750184373614871
26,0.1216040626168251,0.9227699032077542,0.6721649617907706
27,0.06255726516246796,0.9276615291446835,0.6959535370498907
28,1.11544668674469,0.9233881417807046,0.6823631466222441
29,0.15499018132686615,0.925407464163644,0.6907306790637922
